Team,2017,2018,2019,2020,2021,After June 3
Angels,25.31,25.7,25.97,25.7,25.77,25.06
Astros,26.43,26.75,27.21,26.84,26.38,25.68
Athletics,25.16,24.95,24.71,24.82,24.33,23.56
Blue Jays,25.42,24.85,25.86,24.3,25.48,24.95
Braves,25.25,25.36,26.22,26.22,26.25,25.38
Brewers,24.45,25.08,25.12,26.38,25.96,25.04
Cardinals,24.24,25.03,25.7,26.25,25.97,26.02
Cubs,25,25.11,25.64,26.64,26.01,25.35
Diamondbacks,24.84,24.69,24.96,25.72,25.93,25.06
Dodgers,26.04,26.18,26.94,26.44,29.01,27.9
Giants,25.76,25.94,26.13,25.35,24.51,23.85
Indians,26.04,26.4,26.1,26.54,25.94,25.69
Mariners,24.66,24.62,25.16,24.93,25.61,24.71
Marlins,24.54,24.28,25.81,25.42,24.86,24.79
Mets,24.92,24.9,24.99,24.48,25.06,24.54
Nationals,24.6,24.75,24.91,25.2,25.22,24.78
Orioles,24.84,24.76,25.39,25.13,25.86,24.69
Padres,25,25.47,24.78,25.61,26.62,26.76
Phillies,24.45,25.24,25.3,24.51,23.78,23.17
Pirates,24.16,25.13,25.58,27.03,26.86,26.69
Rangers,25.45,24.89,25.67,25.55,24.97,24.53
Rays,25.24,25.14,25.45,25.13,26.5,25.58
Red Sox,25.59,25.76,25.9,24.99,25.71,24.77
Reds,24.23,23.47,25.61,27.52,26.52,26.06
Rockies,25.17,24.96,25.12,25.13,25.77,25.63
Royals,25.55,25.09,24.77,26,26.25,25.65
Tigers,25.28,25.63,25.9,24.95,24.93,23.61
Twins,24.95,24.61,24.51,26.17,24.66,24.49
White Sox,24.59,24.25,24.19,24.62,25.12,24.85
Yankees,25.39,25.85,25.35,25.59,26.8,26.03
